S/No.,source_sheet,ftr_hq_name,shq_name,budget_head,executive_agency,Allotment Previous Financila year,Expdr previous year,Liabilities,Fresh Sanction issued during CFY,Effective sanction,Allotment CFY,Expdr_as_per_elekha,% Age of expdr as per e-lekha,Bill pending with PAD,Bill pending with HQrs,Total Expdr as per contengency register,% Age of total Expdr,Balance fund,"Allotment
 (FY 24-25)",Expdr booked as per e-lekha as on 31/03/25,created_at,updated_at,sub_scheme-name
ECY-1761419967083-1,CONSOLIDATED,Kashmir ,FTR KMR,OB(BS),Dept,306.95,277.35,2949.53,0,2949.53,582.88,318.28,54.6,73.97,39.99,432.24,74.16,20.56,345.41,345.39,2025-10-25T19:19:27.086Z,2025-10-25T19:19:27.086Z,
ECY-1761419967083-2,CONSOLIDATED,Kashmir ,FTR KMR,RB(BS),Dept,729.5,729.49,4651.43,0,4651.43,400,0,0,0,0,0,0,0,283.91,283.9,2025-10-25T19:19:27.086Z,2025-10-25T19:19:27.086Z,
ECY-1761419967083-3,CONSOLIDATED,Kashmir ,FTR KMR,BOP(IA),Dept,74.94,70.63,1664.75,0,1664.75,71.18,123.82,173.95,0,0,123.82,173.95,21.3,255.55,253.83,2025-10-25T19:19:27.086Z,2025-10-25T19:19:27.086Z,
ECY-1761419967083-4,CONSOLIDATED,Kashmir ,FTR KMR,SAP(BS),Dept,80.82,88.84,364.22,0,364.22,233.29,157.94,67.7,39.03,21.97,218.94,93.85,0,118.63,118.61,2025-10-25T19:19:27.086Z,2025-10-25T19:19:27.086Z,
ECY-1761419967083-5,CONSOLIDATED,Kashmir ,FTR KMR,BIMW(IA),Dept,38.5,33.32,1385.63,0,1385.63,350,0,0,0,9.13,9.13,2.61,0,6.93,0.53,2025-10-25T19:19:27.086Z,2025-10-25T19:19:27.086Z,Puf Shelters 
ECY-1761419967083-6,CONSOLIDATED,Kashmir ,FTR KMR,BIMW(IA),Dept,546.5,514.05,714.91,0,714.91,0,0,,0,0,0,,0,,,2025-10-25T19:19:27.086Z,2025-10-25T19:19:27.086Z,Solarization at FDL
ECY-1761419967083-7,CONSOLIDATED,Kashmir ,FTR KMR,MCEW,Dept,843.5,842.05,642.83,303.6,946.4300000000001,1101.69,845.02,76.7,0,0,845.02,76.7,256.6700000000001,,,2025-10-25T19:19:27.086Z,2025-10-25T19:19:27.086Z,
ECY-1761419967083-8,CONSOLIDATED,Kashmir ,FTR KMR,BM(MCEW),Dept,,,125.7,53.34,179.04000000000002,94,25.54,27.17,0,14.85,40.39,42.97,7,349.52,349.49,2025-10-25T19:19:27.086Z,2025-10-25T19:19:27.086Z,
ECY-1761419967083-9,CONSOLIDATED,Jammu ,FTR JMU,OB(BS),Dept,144.47,137.74,6361.21,0,6361.21,717.75,416.98,58.1,3.11,12.47,432.56000000000006,60.27,0,161.5,161.49,2025-10-25T19:19:27.086Z,2025-10-25T19:19:27.086Z,
ECY-1761419967083-10,CONSOLIDATED,Jammu ,FTR JMU,RB(BS),Dept,0,0,949.88,0,949.88,158.57,44.46,28.04,7.28,8.77,60.510000000000005,38.16,0,213.35,213.11,2025-10-25T19:19:27.086Z,2025-10-25T19:19:27.086Z,
ECY-1761419967083-11,CONSOLIDATED,Jammu ,FTR JMU,BOP(IA),Dept,419.5,400.59,151.09,0,151.09,305.94,162.48,53.11,0,6.55,169.03,55.25,29,72.72,73.81,2025-10-25T19:19:27.086Z,2025-10-25T19:19:27.086Z,
ECY-1761419967083-12,CONSOLIDATED,Jammu ,FTR JMU,SAP(BS),Dept,50.25,47.86,229.42,0,229.42,148.5,100.37,67.59,2.55,9.6,112.52,75.77,0,521,509.89,2025-10-25T19:19:27.086Z,2025-10-25T19:19:27.086Z,
ECY-1761419967083-13,CONSOLIDATED,Jammu ,FTR JMU,BIMW(IA),Dept,,,893.33,0,893.33,220,192.53,87.51,22.93,212.29,427.75,194.43,0,33.1,33.08,2025-10-25T19:19:27.086Z,2025-10-25T19:19:27.086Z,Mahila Barrack
ECY-1761419967083-14,CONSOLIDATED,Jammu ,FTR JMU,BIMW(IA),Dept,,,221.99,0,221.99,180.41,49.66,27.53,5.96,17.44,73.06,40.5,0,350,206.41,2025-10-25T19:19:27.086Z,2025-10-25T19:19:27.086Z,Porta toilet 
ECY-1761419967083-15,CONSOLIDATED,Jammu ,FTR JMU,BIMW(IA),Dept,,,5332.94,0,5332.94,500,445.52,89.1,0,0,445.52,89.1,0,149.67,47.13,2025-10-25T19:19:27.086Z,2025-10-25T19:19:27.086Z,FDPs
ECY-1761419967083-16,CONSOLIDATED,Jammu ,FTR JMU,BIMW(IA),Dept,,,1097.19,0,1097.19,150,0,0,0,0,0,0,150,0,0,2025-10-25T19:19:27.086Z,2025-10-25T19:19:27.086Z,Puf Shelters 
