s_no,source_sheet,budget_head,name_of_scheme,sub_scheme_name,ftr_hq_name,shq_name,location,work_description,executive_agency,aa_es_reference,sd_amount_lakh,ts_date,tender_date,remarks,created_at,updated_at,acceptance_date,time_allowed_days,pdc_agreement,award_date,pdc_revised,completion_date_actual,firm_name,physical_progress_percent,expenditure_previous_fy,expenditure_current_fy,expenditure_total,expenditure_percent,current_status,id,delay_days,expected_progress,health_status,health_score,progress_category,risk_level,priority,status,efficiency_score,quality_score,forecast_completion,budget_variance,monthly_burn_rate,message,row
ENG-1761419859723-1,REV GEN POOL QTRS,RB(BS),Umbrella 2021-26,Ren of Gen Pool Qtrs,Punjab,FTR PB,JAL,Renovation Up-Gradation of T-II Gen 04 Nos Qtrs ( Qtr No.69-72) at Ftr HQ BSF Jalalndhar Punjab,Dept,123/D-III/171(46)-14/2025/Engg/BSF/3234-41 dtd 19.08.2025,19.52,07.10.25,09.10.25,Tender to be open on 23.10.2025,2025-10-25T19:17:42.194Z,2025-10-25T19:17:42.194Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-1761419859723-2,REV GEN POOL QTRS,RB(BS),Umbrella 2021-27,Ren of Gen Pool Qtrs,Punjab,FTR PB,JAL,Renovation Up-Gradation of T-III 11 Nos Qtrs Nos at Ftr HQ BSF Jalalndhar Punjab,Dept,123/D-III/171(46)-15/2025/Engg/BSF/3225-33 dtd 19.08.2025,61.08,07.10.25,09.10.25,Tender to be open on 23.10.2026,2025-10-25T19:17:42.194Z,2025-10-25T19:17:42.194Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-1761419859723-3,REV GEN POOL QTRS,RB(BS),Umbrella 2021-28,Ren of Gen Pool Qtrs,Punjab,GSP,DBN,Renovation Up-Gradation of T-III/04 Nos Qtrs Nos (03 to 06) Qtrs at BN HQ DBN at 27 BN BSF  under SHQ BSF Gurdaspur,Dept,123/D-III/171(46)-16/2025/Engg/BSF/ 3242-50  dtd 19.08.2025,22.21,,,Detailed estimate under prepration,2025-10-25T19:17:42.194Z,2025-10-25T19:17:42.194Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-1761419859723-4,REV GEN POOL QTRS,RB(BS),Umbrella 2021-29,Ren of Gen Pool Qtrs,Punjab,GSP,GSP,Renovation Up-Gradation of T-II/27 Nos Qtrs at  under SHQ BSF Gurdaspur,Dept,123/D-III/171(46)-20/2025/Engg/BSF/3254-67 dtd 19.08.2025,131.78,,,Detailed estimate under prepration,2025-10-25T19:17:42.194Z,2025-10-25T19:17:42.194Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-1761419859723-5,REV GEN POOL QTRS,RB(BS),Umbrella 2021-30,Ren of Gen Pool Qtrs,Punjab,FZR,MAMDOT,Renovation Up-Gradation of T-III/18 Nos (01 to 18) Nos Qtrs at BN HQ 116 BN BSF  under SHQ BSF Ferozepur,Dept,123/D-III/171(46)-17 /2025/Engg/BSF/3251-58 dtd 19.08.2026,87.85,,,Detailed estimate under prepration,2025-10-25T19:17:42.194Z,2025-10-25T19:17:42.194Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-1761419859723-6,REV GEN POOL QTRS,RB(BS),Umbrella 2021-31,Ren of Gen Pool Qtrs,Punjab,ARTY HQ,FDK,Renovation Up-Gradation of T-II/24 Nos (01 to 24) Nos Qtrs at BSF Campus Arty HQ Faridkot under SHQ BSF Ferozepur,Dept,123/D-III/171(46)-19 /2025/Engg/BSF/3300-09 dtd 19.08.2025,117.14,,,Detailed estimate under prepration,2025-10-25T19:17:42.194Z,2025-10-25T19:17:42.194Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-1761419859723-7,REV GEN POOL QTRS,RB(BS),Umbrella 2021-32,Ren of Gen Pool Qtrs,Punjab,ARTY HQ,FDK,Renovation Up-Gradation of T-II/10 Nos (73 to 82 ) Nos Qtrs at BSF Campus Arty HQ Faridkot under SHQ BSF Ferozepur,Dept,123/D-III/171(46)-18 /2025/Engg/BSF/3300-09 dtd 19.08.2025,48.81,,,Detailed estimate under prepration,2025-10-25T19:17:42.194Z,2025-10-25T19:17:42.194Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-1761419859723-8,REV GEN POOL QTRS,RB(BS),Umbrella 2021-35,Ren of Gen Pool Qtrs,HQ SDG(WC),WC CHD,Lakhnaur,Renovation/Upgradation of Type-II 32 Nos (01 to 322) at 148 Bn BSF Lakhnaur campus under HQ SDG(WC) BSF Chandigarh,Dept,FHQ O/No 2522-28 dtd 05/08/2025,147.34,2025-09-18,2025-09-22,Work awarded and being started shortly,2025-10-25T19:17:42.194Z,2025-10-25T19:17:42.194Z,2025-10-13,240,2026-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-1761419859723-9,SAP 2025-26,SAP(BS),Umbrella 2021-26,SAP                  2052-26,Punjab,FTR PB,Jalandhar,Renovation and Up-Gradation of toilet blocks No. 1 of Sports Barrack (120 Men Barrack) at Ftr HQ BSF Jalandhar,Dept,,15.22,,,Recenlty appraised. AA&ES is under process,2025-10-25T19:17:42.194Z,2025-10-25T19:17:42.195Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-1761419859723-10,SAP 2025-26,SAP(BS),Umbrella 2021-27,SAP                  2052-26,Punjab,FTR PB,Jalandhar,Renovation and Up-Gradation of toilet blocks No. 1 of Sports Barrack (120 Men Barrack) at Ftr HQ BSF Jalandhar,Dept,,15.22,,,Recenlty appraised. AA&ES is under process,2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
