S/No.,ftr_hq,budget_head,Sub head,Allotment Previous Financial year,Expdr previous year,Liabilities,Fresh Sanction issued during CFY,Effective sanction,Allotment,Expdr booked as per e-lekha as on 22/07/25,% Age of expdr as per e-lekha,Bill pending with PAD,Bill pending with HQrs,Total Expdr,% Age of total Expdr,Balance fund
1,Kashmir,OB(BS),OB,306.95,277.35,2949.53,0.00,2949.53,582.88,295.63,50.72%,2.21,102.53,400.37,68.69%,182.51
2,Kashmir,RB(BS),RB,729.5,729.49,4651.43,0.00,4651.43,800.00,0.00,0.00%,0.00,0.00,0.00,0.00%,800.00
3,Kashmir,BOP(IA),BOP(IA),74.94,70.63,1664.75,0.00,1664.75,240.00,71.18,29.66%,0.00,0.00,71.18,29.66%,168.82
4,Kashmir,SAP(BS),SAP,80.82,88.84,364.22,0.00,364.22,203.89,111.69,54.78%,24.42,57.36,193.47,94.89%,10.42
5,Kashmir,BIMW(IA),Puf shelters,38.5,33.32,1385.63,0.00,1385.63,350.00,0.00,0.00%,0.00,6.93,6.93,1.98%,343.07
6,Kashmir,BIMW(IA),Solarization FDLs,546.5,514.05,714.91,0.00,714.91,0.00,0.00,#DIV/0!,0.00,0.00,0.00,#DIV/0!,0.00
7,Kashmir,MCEW,MCEW,843.5,842.05,642.83,303.60,946.43,914.65,610.04,66.70%,43.00,0.00,653.04,71.40%,261.61
8,Kashmir,BM(MCEW),BM(MCEW),,,125.70,53.34,179.04,96.00,0.99,1.03%,0.00,14.85,15.84,16.50%,80.16
9,Jammu,OB(BS),OB,144.47,137.74,6361.21,0.00,6361.21,767.75,296.48,38.62%,0.00,42.79,339.27,44.19%,428.48
10,Jammu,RB(BS),RB,0,0,949.88,0.00,949.88,258.57,36.68,14.19%,0.00,15.17,51.85,20.05%,206.72
11,Jammu,BOP(IA),BOP(IA),419.5,400.59,151.09,0.00,151.09,381.81,143.26,37.52%,0.00,7.00,150.26,39.35%,231.55
12,Jammu,SAP(BS),SAP,50.25,47.86,229.42,0.00,229.42,148.50,86.15,58.01%,0.00,5.68,91.83,61.84%,56.67
13,Jammu,BIMW(IA),Mahila Barrack,,,893.33,0.00,893.33,220.00,121.50,55.23%,22.93,100.08,244.51,111.14%,-24.51
14,Jammu,BIMW(IA),Porta toilet,,,221.99,0.00,221.99,180.41,0.00,0.00%,0.00,0.00,0.00,0.00%,180.41
15,Jammu,BIMW(IA),349 FDPs,,,5332.94,0.00,5332.94,500.00,285.01,57.00%,61.75,60.58,407.34,81.47%,92.66
16,Jammu,BIMW(IA),Puf shelters,,,1097.19,0.00,1097.19,150.00,0.00,0.00%,0.00,0.00,0.00,0.00%,150.00
17,Jammu,BIMW(IA),Solarization FDLs,,,1007.79,0.00,1007.79,0.00,,#DIV/0!,,,0.00,#DIV/0!,0.00
18,Jammu,BIMW(IA),Solar plants at BOPs,,,1076.73,0.00,1076.73,0.00,0.00,#DIV/0!,0.00,0.00,0.00,#DIV/0!,0.00
19,Jammu,BIMW(IA),Solar water heaters at BOPs,,,125.57,0.00,125.57,100.00,0.35,0.35%,0.00,0.00,0.35,0.35%,99.65
