source_sheet,serial_no,budget_head,scheme_name,ftr_hq,shq,work_site,executive_agency,aa_es_ref,sanctioned_amount,date_ts,date_tender,date_acceptance,date_award,time_allowed_days,pdc_agreement,revised_pdc,actual_completion_date,firm_name,physical_progress,progress_status,expdr_upto_31mar25,expdr_cfy,total_expdr,percent_expdr,remarks,serial_no_1
MAHILA BARRACK,(1),,,(2),(3),(4),,(5),,,,,,,,,,(12),,,,,,,(25),
MAHILA BARRACK,1,OB(BS),Ren Devl works,Jammu,JMU,BOP  Abdullian,Dept,239- H dated 27/03/2023,50.05,2023-07-28,2023-09-19,2023-12-14,2023-12-21,9.0,2024-09-23,2025-02-28,,M/s R R Construction,99.0,,25.25,-25.25,0.0,0.0,"Work in progress. 3rd RA Bill amt Rs. 18,02,933/- pending with HQ.",
MAHILA BARRACK,2,OB(BS),Ren Devl works,Jammu,JMU,BOP  Khatmarian,Dept,239- H dated 27/03/2023,50.05,,,,,,,,,,,,0.0,0.0,0.0,0.0,Tender opened on 08.08.2025 and under process.,
MAHILA BARRACK,3,OB(BS),Ren Devl works,Jammu,JMU,BOP  Sushil,Dept,239- H dated 27/03/2023,50.05,,,,,,,,,,,,0.0,0.0,0.0,0.0,Tender opened on 08.08.2025 and under process.,
MAHILA BARRACK,4,OB(BS),Ren Devl works,Jammu,JMU,BOP Mangral,Dept,239- H dated 27/03/2023,50.05,2023-07-28,2023-09-19,2023-12-13,2023-12-22,9.0,2024-09-22,2025-03-31,,M/s Surinder Mohan Gupta,94.0,,22.790000000000003,-22.790000000000003,0.0,0.0,"Work in progress & 2nd RA billl amount to Rs.19,89,951/- pending with PAD",
MAHILA BARRACK,5,OB(BS),Ren Devl works,Jammu,JMU,BOP Jugnuchak,Dept,239- H dated 27/03/2023,50.05,2023-07-28,2023-08-11,2024-02-22,2024-03-13,9.0,2024-12-12,2025-03-31,,M/s Surinder Mohan Gupta,80.0,,19.189999999999998,-19.189999999999998,0.0,0.0,Work in progress,
MAHILA BARRACK,6,OB(BS),Ren Devl works,Jammu,JMU,BOP  Nawapind,Dept,239- H dated 27/03/2023,50.05,2023-07-28,2023-08-11,2024-03-09,2024-03-16,9.0,2024-12-15,2025-03-31,,M/s Surinder Mohan Gupta,85.0,,26.28,-26.28,0.0,0.0,Work in progress & bill amount to Rs.15.00 lakh under preparation.,
MAHILA BARRACK,7,OB(BS),Ren Devl works,Jammu,JMU,BOP  Baquarpur,Dept,239- H dated 27/03/2023,50.05,2023-07-28,2023-08-11,2024-03-09,2024-03-16,9.0,2024-12-15,2025-03-31,,M/s Surinder Mohan Gupta,85.0,,25.669999999999998,-25.669999999999998,0.0,0.0,Work in progress & bill amount to Rs.15.00 lakh under preparation.,
MAHILA BARRACK,8,OB(BS),Ren Devl works,Jammu,JMU,BOP  Octroi,Dept,239- H dated 27/03/2023,50.05,2023-07-28,2023-09-19,2023-12-13,2023-12-23,9.0,2024-09-17,2025-03-31,,M/s R R Construction,70.0,,15.28,-15.28,0.0,0.0,Work in progress & bill amount to Rs.10.53  lakh passed & Rs.15.00 lakh bill under preparation.,
MAHILA BARRACK,9,OB(BS),Ren Devl works,Jammu,JMU,BOP  Karotna Khurd,Dept,239- H dated 27/03/2023,50.05,,,,,,,,,,,,0.0,0.0,0.0,0.0,Tender opened on 08.08.2025 and under process.,
MAHILA BARRACK,10,OB(BS),Ren Devl works,Jammu,JMU,BOP Vikram,Dept,239- H dated 27/03/2023,50.05,2023-07-28,2023-11-29,2024-01-02,2024-12-01,9.0,2024-10-13,2025-03-31,,M/s Dilbag Singh Contractor,94.0,,24.78,-24.78,0.0,0.0,Work in progress & bill amount to Rs.11.44 lakh passed.,
MAHILA BARRACK,11,OB(BS),Ren Devl works,Jammu,JMU,BOP Bullechak,Dept,239- H dated 27/03/2023,50.05,,,,,,,,,,,,0.0,0.0,0.0,0.0,Tender opened on 08.08.2025 and under process.,
MAHILA BARRACK,12,OB(BS),Ren Devl works,Jammu,JMU,BOP Budhwar,Dept,239- H dated 27/03/2023,50.05,2023-07-28,2023-11-29,2024-01-02,2024-12-01,9.0,2024-10-13,2025-03-31,,M/s Dilbag Singh Contractor,92.0,,27.99,-27.99,0.0,0.0,Work in progress,
MAHILA BARRACK,13,OB(BS),Ren Devl works,Jammu,JMU,BOP S M Pur,Dept,239- H dated 27/03/2023,50.05,2023-07-31,2023-09-19,2023-12-14,2024-05-01,9.0,2024-10-13,2025-03-31,,M/s Swarn Kumar,80.0,,28.37,-28.37,0.0,0.0,Work in progress & bill amount to Rs.8.23 lakh passed,
MAHILA BARRACK,14,OB(BS),Ren Devl works,Jammu,JMU,BOP Chamliyal,Dept,239- H dated 27/03/2023,50.05,2023-07-28,2023-10-06,2024-01-02,2024-05-01,9.0,2024-10-13,2025-03-31,,M/s Swarn Kumar,75.0,,27.520000000000003,-27.520000000000003,0.0,0.0,Work in progress,
MAHILA BARRACK,15,OB(BS),Ren Devl works,Jammu,JMU,BOP Narayanpur,Dept,239- H dated 27/03/2023,50.05,2023-07-28,2023-10-06,2024-01-02,2024-05-01,9.0,2024-10-13,2025-03-31,,M/s Swarn Kumar,74.0,,28.44,-28.44,0.0,0.0,Work in progress,
