S/No.,source_sheet,Name of Ftr HQ,Budget head,Allotment Previous Financila year,Expdr previous year,Liabilities,Fresh Sanction issued during CFY,Effective sanction,Allotment CFY,Expdr booked as per e-lekha as on 22/07/25,% Age of expdr as per e-lekha,Bill pending with PAD,Bill pending with HQrs,Total Expdr as per contengency register,% Age of total Expdr,Balance fund,Expdr booked as per e-lekha as on 31/03/25,created_at,updated_at,Name of scheme
ECY-1759510631867-1,CONSOLIDATED,Kashmir ,OB(BS),345.41,277.35,2949.53,0,2949.53,582.88,295.63,50.72,2.21,102.53,400.37,68.69,20.56,345.39,2025-10-03T16:57:11.871Z,2025-10-03T16:57:11.871Z,
ECY-1759510631867-2,CONSOLIDATED,Kashmir ,RB(BS),283.91,729.49,4651.43,0,4651.43,800,0,0,0,0,0,0,0,283.9,2025-10-03T16:57:11.871Z,2025-10-03T16:57:11.871Z,
ECY-1759510631867-3,CONSOLIDATED,Kashmir ,BOP(IA),255.55,70.63,1664.75,0,1664.75,240,71.18,29.66,0,0,71.18,29.66,21.3,253.83,2025-10-03T16:57:11.871Z,2025-10-03T16:57:11.871Z,
ECY-1759510631867-4,CONSOLIDATED,Kashmir ,SAP(BS),118.63,88.84,364.22,0,364.22,203.89,111.69,54.78,24.42,57.36,193.47000000000003,94.89,0,118.61,2025-10-03T16:57:11.871Z,2025-10-03T16:57:11.871Z,
ECY-1759510631867-5,CONSOLIDATED,Kashmir ,BIMW(IA),6.93,33.32,1385.63,0,1385.63,350,0,0,0,6.93,6.93,1.98,0,0.53,2025-10-03T16:57:11.871Z,2025-10-03T16:57:11.871Z,Puf Shelters 
ECY-1759510631867-6,CONSOLIDATED,Kashmir ,BIMW(IA),546.5,514.05,714.91,0,714.91,0,0,,0,0,0,,0,,2025-10-03T16:57:11.871Z,2025-10-03T16:57:11.871Z,Solarization at FDL
ECY-1759510631867-7,CONSOLIDATED,Kashmir ,MCEW,969.07,842.05,642.83,303.6,946.4300000000001,914.65,610.04,66.7,43,0,653.04,71.4,14.07,968.04,2025-10-03T16:57:11.871Z,2025-10-03T16:57:11.871Z,MCEW
ECY-1759510631867-8,CONSOLIDATED,Kashmir ,BM(MCEW),,,125.7,53.34,179.04000000000002,96,0.99,1.03,0,14.85,15.84,16.5,80.16,,2025-10-03T16:57:11.871Z,2025-10-03T16:57:11.871Z,BM(MCEW)
ECY-1759510631867-9,CONSOLIDATED,Jammu ,OB(BS),349.52,137.74,6361.21,0,6361.21,767.75,296.48,38.62,0,42.79,339.27000000000004,44.19,7,349.49,2025-10-03T16:57:11.871Z,2025-10-03T16:57:11.871Z,
ECY-1759510631867-10,CONSOLIDATED,Jammu ,RB(BS),161.5,0,949.88,0,949.88,258.57,36.68,14.19,0,15.17,51.85,20.05,0,161.49,2025-10-03T16:57:11.871Z,2025-10-03T16:57:11.871Z,
ECY-1759510631867-11,CONSOLIDATED,Jammu ,BOP(IA),213.35,400.59,151.09,0,151.09,381.81,143.26,37.52,0,7,150.26,39.35,0,213.11,2025-10-03T16:57:11.871Z,2025-10-03T16:57:11.871Z,
ECY-1759510631867-12,CONSOLIDATED,Jammu ,SAP(BS),72.72,47.86,229.42,0,229.42,148.5,86.15,58.01,0,5.68,91.83000000000001,61.84,29,73.81,2025-10-03T16:57:11.871Z,2025-10-03T16:57:11.871Z,
ECY-1759510631867-13,CONSOLIDATED,Jammu ,BIMW(IA),521,,893.33,0,893.33,220,121.5,55.23,22.93,100.08,244.51,111.14,0,509.89,2025-10-03T16:57:11.871Z,2025-10-03T16:57:11.871Z,Mahila Barrack
ECY-1759510631867-14,CONSOLIDATED,Jammu ,BIMW(IA),33.1,,221.99,0,221.99,180.41,0,0,0,0,0,0,0,33.08,2025-10-03T16:57:11.871Z,2025-10-03T16:57:11.871Z,Porta toilet 
ECY-1759510631867-15,CONSOLIDATED,Jammu ,BIMW(IA),350,,5332.94,0,5332.94,500,285.01,57,61.75,60.58,407.34,81.47,0,206.41,2025-10-03T16:57:11.871Z,2025-10-03T16:57:11.871Z,FDPs
ECY-1759510631867-16,CONSOLIDATED,Jammu ,BIMW(IA),149.67,,1097.19,0,1097.19,150,0,0,0,0,0,0,0,47.13,2025-10-03T16:57:11.871Z,2025-10-03T16:57:11.871Z,Puf Shelters 
ECY-1759510631867-17,CONSOLIDATED,Jammu ,BIMW(IA),0,,1007.79,0,1007.79,0,,,,,0,,0,0,2025-10-03T16:57:11.871Z,2025-10-03T16:57:11.871Z,Solarization at FDL
ECY-1759510631867-18,CONSOLIDATED,Jammu ,BIMW(IA),100,,1076.73,0,1076.73,0,0,,0,0,0,,0,0,2025-10-03T16:57:11.871Z,2025-10-03T16:57:11.871Z,25 KWPH Solar plants 
ECY-1759510631867-19,CONSOLIDATED,Jammu ,BIMW(IA),100,,125.57,0,125.57,100,0.35,0.35,0,0,0.35,0.35,0,90.86,2025-10-03T16:57:11.871Z,2025-10-03T16:57:11.871Z,Solater water heaters
ECY-1759510631867-20,CONSOLIDATED,Jammu ,MCEW,856.64,780.28,520.81,366.83,887.6399999999999,808,404.57,50.07,5.28,5.34,415.18999999999994,51.38,16.36,847.02,2025-10-03T16:57:11.871Z,2025-10-03T16:57:11.871Z,MCEW
ECY-1759510631867-21,CONSOLIDATED,Jammu ,BM(MCEW),607.71,580.35,457.1,147.53,604.63,807,239.88,29.72,0,17.38,257.26,31.88,11,554.13,2025-10-03T16:57:11.871Z,2025-10-03T16:57:11.871Z,BM(MCEW)
ECY-1759510631867-22,CONSOLIDATED,Jammu ,BM(OE)/ BFL Elect,638.85,629.19,2.7,355.66,358.36,742.66,509.3,68.58,0,0,509.3,68.58,0,,2025-10-03T16:57:11.871Z,2025-10-03T16:57:11.871Z,
ECY-1759510631867-23,CONSOLIDATED,Jammu ,Land ,2969.26,1114.74,1379.33,202.01,1581.34,1876.65,1876.64,100,0,0,1876.64,100,0,2969.24,2025-10-03T16:57:11.871Z,2025-10-03T16:57:11.871Z,
ECY-1759510631867-24,CONSOLIDATED,Punjab ,OB(BS),537.28,816.69,12399.19,0,12399.19,1450,825.29,56.92,47.12,149.1,1021.51,70.45,428.49,537.25,2025-10-03T16:57:11.871Z,2025-10-03T16:57:11.871Z,
ECY-1759510631867-25,CONSOLIDATED,Punjab ,RB(BS),319.09,305.77,229.65,0,229.65,230.2,105.59,45.87,8.32,32,145.91,63.38,84.28999999999999,314.39,2025-10-03T16:57:11.871Z,2025-10-03T16:57:11.871Z,
ECY-1759510631867-26,CONSOLIDATED,Punjab ,BOP(IA),144.8,276.29,63,0,63,63,24.8,39.37,36.3,4.31,65.41,103.83,-2.4099999999999966,141.28,2025-10-03T16:57:11.871Z,2025-10-03T16:57:11.871Z,
ECY-1759510631867-27,CONSOLIDATED,Punjab ,SAP(BS),85.17,39.25,465.66,0,465.66,265,144.99,54.71,0,4.15,149.14000000000001,56.28,115.85999999999999,85.14,2025-10-03T16:57:11.871Z,2025-10-03T16:57:11.871Z,
ECY-1759510631867-28,CONSOLIDATED,Punjab ,BIMW(IA),0,,9.63,0,9.63,9.63,9.63,100,0,9.63,19.26,200,-9.63,0,2025-10-03T16:57:11.871Z,2025-10-03T16:57:11.871Z,Porta toilet 
ECY-1759510631867-29,CONSOLIDATED,Punjab ,BIMW(IA),250,,739.42,0,739.42,255,144.18,56.54,45.85,42.94,232.97,91.36,22.03,246.85,2025-10-03T16:57:11.871Z,2025-10-03T16:57:11.871Z,Mahila Barrack
ECY-1759510631867-30,CONSOLIDATED,Punjab ,BIMW(IA),360,,362.19,0,362.19,127,104.07,81.94,7.34,22.49,133.9,105.43,-6.900000000000006,201.95,2025-10-03T16:57:11.871Z,2025-10-03T16:57:11.871Z,OP/ACP Shelters
ECY-1759510631867-31,CONSOLIDATED,Punjab ,BIMW(IA),100,,276,0,276,100,43.89,43.89,0,0,43.89,43.89,56.11,0,2025-10-03T16:57:11.871Z,2025-10-03T16:57:11.871Z,Solater water heaters
ECY-1759510631867-32,CONSOLIDATED,Punjab ,BIMW(IA),0,,0,0,0,0,0,,0,0,0,,0,0,2025-10-03T16:57:11.871Z,2025-10-03T16:57:11.871Z,25 KWPH Solar plants 
ECY-1759510631867-33,CONSOLIDATED,Punjab ,MCEW,957.93,797.45,476.85,30.39,507.24,776,436.57,56.26,31.27,40.9,508.73999999999995,65.56,267.26000000000005,943.61,2025-10-03T16:57:11.871Z,2025-10-03T16:57:11.871Z,
ECY-1759510631867-34,CONSOLIDATED,Punjab ,BM(MCEW),1055,797.74,837.43,0,837.43,792.22,356.67,45.02,0.34,78.54,435.55,54.98,356.67,1048.57,2025-10-03T16:57:11.871Z,2025-10-03T16:57:11.871Z,
ECY-1759510631867-35,CONSOLIDATED,Punjab ,Land ,170.6,,0,0,171.06,127.74,127.72,99.98,0,0,127.72,99.98,,170.58,2025-10-03T16:57:11.871Z,2025-10-03T16:57:11.871Z,
ECY-1759510631867-36,CONSOLIDATED,Rajasthan ,OB(BS),484.45,643.48,8028.76,0,8028.76,995,565.73,56.86,91.92,0,657.65,66.1,10,484.43,2025-10-03T16:57:11.871Z,2025-10-03T16:57:11.871Z,
ECY-1759510631867-37,CONSOLIDATED,Rajasthan ,RB(BS),159.81,76.31,244.32,0,244.32,150,62.19,41.46,12.99,0,75.17999999999999,50.12,10,159.77,2025-10-03T16:57:11.871Z,2025-10-03T16:57:11.871Z,
