id,S/No.,source_sheet,Name of Ftr HQ,Budget head,Allotment Previous Financila year,Expdr previous year,Liabilities,Fresh Sanction issued during CFY,Effective sanction,Allotment CFY,Expdr booked as per e-lekha as on 22/07/25,% Age of expdr as per e-lekha,Bill pending with PAD,Bill pending with HQrs,Total Expdr as per contengency register,% Age of total Expdr,Balance fund,Allotment  (FY 24-25),Expdr booked as per e-lekha as on 31/03/25,created_at,updated_at,Name of scheme
ENG-1759510122881-1,ECY-1759190037700-1,Sheet1,Kashmir,OB(BS),306.95,277.35,2949.53,0,2949.53,582.88,295.63,50.72,2.21,102.53,400.37,68.69,20.56,345.41,345.39,2025-09-29T23:53:57.703Z,2025-10-03T16:48:42.881Z,
ENG-1759510122881-2,ECY-1759190037700-2,Sheet1,Kashmir,RB(BS),729.5,729.49,4651.43,0,4651.43,800,0,0,0,0,0,0,0,283.91,283.9,2025-09-29T23:53:57.703Z,2025-10-03T16:48:42.881Z,
ENG-1759510122881-3,ECY-1759190037700-3,Sheet1,Kashmir,BOP(IA),74.94,70.63,1664.75,0,1664.75,240,71.18,29.66,0,0,71.18,29.66,21.3,255.55,253.83,2025-09-29T23:53:57.703Z,2025-10-03T16:48:42.881Z,
ENG-1759510122881-4,ECY-1759190037700-4,Sheet1,Kashmir,SAP(BS),80.82,88.84,364.22,0,364.22,203.89,111.69,54.78,24.42,57.36,193.47000000000003,94.89,0,118.63,118.61,2025-09-29T23:53:57.703Z,2025-10-03T16:48:42.881Z,
ENG-1759510122881-5,ECY-1759190037700-5,Sheet1,Kashmir,BIMW(IA),38.5,33.32,1385.63,0,1385.63,350,0,0,0,6.93,6.93,1.98,0,6.93,0.53,2025-09-29T23:53:57.703Z,2025-10-03T16:48:42.881Z,Puf Shelters
ENG-1759510122881-6,ECY-1759190037700-6,Sheet1,Kashmir,BIMW(IA),546.5,514.05,714.91,0,714.91,0,0,,0,0,0,,0,,,2025-09-29T23:53:57.703Z,2025-10-03T16:48:42.881Z,Solarization at FDL
ENG-1759510122881-7,ECY-1759190037700-7,Sheet1,Kashmir,MCEW,843.5,842.05,642.83,303.6,946.4300000000001,914.65,610.04,66.7,43,0,653.04,71.4,14.07,969.07,968.04,2025-09-29T23:53:57.703Z,2025-10-03T16:48:42.881Z,MCEW
ENG-1759510122881-8,ECY-1759190037700-8,Sheet1,Kashmir,BM(MCEW),,,125.7,53.34,179.04000000000002,96,0.99,1.03,0,14.85,15.84,16.5,80.16,,,2025-09-29T23:53:57.703Z,2025-10-03T16:48:42.881Z,BM(MCEW)
ENG-1759510122881-9,ECY-1759190037700-9,Sheet1,Jammu,OB(BS),144.47,137.74,6361.21,0,6361.21,767.75,296.48,38.62,0,42.79,339.27000000000004,44.19,7,349.52,349.49,2025-09-29T23:53:57.703Z,2025-10-03T16:48:42.881Z,
ENG-1759510122881-10,ECY-1759190037700-10,Sheet1,Jammu,RB(BS),0,0,949.88,0,949.88,258.57,36.68,14.19,0,15.17,51.85,20.05,0,161.5,161.49,2025-09-29T23:53:57.703Z,2025-10-03T16:48:42.881Z,
ENG-1759510122881-11,ECY-1759190037700-11,Sheet1,Jammu,BOP(IA),419.5,400.59,151.09,0,151.09,381.81,143.26,37.52,0,7,150.26,39.35,0,213.35,213.11,2025-09-29T23:53:57.703Z,2025-10-03T16:48:42.881Z,
ENG-1759510122881-12,ECY-1759190037700-12,Sheet1,Jammu,SAP(BS),50.25,47.86,229.42,0,229.42,148.5,86.15,58.01,0,5.68,91.83000000000001,61.84,29,72.72,73.81,2025-09-29T23:53:57.703Z,2025-10-03T16:48:42.881Z,
ENG-1759510122881-13,ECY-1759190037700-13,Sheet1,Jammu,BIMW(IA),,,893.33,0,893.33,220,121.5,55.23,22.93,100.08,244.51,111.14,0,521,509.89,2025-09-29T23:53:57.703Z,2025-10-03T16:48:42.881Z,Mahila Barrack
ENG-1759510122881-14,ECY-1759190037700-14,Sheet1,Jammu,BIMW(IA),,,221.99,0,221.99,180.41,0,0,0,0,0,0,0,33.1,33.08,2025-09-29T23:53:57.703Z,2025-10-03T16:48:42.881Z,Porta toilet
ENG-1759510122881-15,ECY-1759190037700-15,Sheet1,Jammu,BIMW(IA),,,5332.94,0,5332.94,500,285.01,57,61.75,60.58,407.34,81.47,0,350,206.41,2025-09-29T23:53:57.703Z,2025-10-03T16:48:42.881Z,FDPs
ENG-1759510122881-16,ECY-1759190037700-16,Sheet1,Jammu,BIMW(IA),,,1097.19,0,1097.19,150,0,0,0,0,0,0,0,149.67,47.13,2025-09-29T23:53:57.703Z,2025-10-03T16:48:42.881Z,Puf Shelters
ENG-1759510122881-17,ECY-1759190037700-17,Sheet1,Jammu,BIMW(IA),,,1007.79,0,1007.79,0,,,,,0,,0,0,0,2025-09-29T23:53:57.703Z,2025-10-03T16:48:42.881Z,Solarization at FDL
ENG-1759510122881-18,ECY-1759190037700-18,Sheet1,Jammu,BIMW(IA),,,1076.73,0,1076.73,0,0,,0,0,0,,0,100,0,2025-09-29T23:53:57.703Z,2025-10-03T16:48:42.881Z,25 KWPH Solar plants
ENG-1759510122881-19,ECY-1759190037700-19,Sheet1,Jammu,BIMW(IA),,,125.57,0,125.57,100,0.35,0.35,0,0,0.35,0.35,0,100,90.86,2025-09-29T23:53:57.703Z,2025-10-03T16:48:42.881Z,Solater water heaters
ENG-1759510122881-20,ECY-1759190037700-20,Sheet1,Jammu,MCEW,782.09,780.28,520.81,366.83,887.6399999999999,808,404.57,50.07,5.28,5.34,415.18999999999994,51.38,16.36,856.64,847.02,2025-09-29T23:53:57.703Z,2025-10-03T16:48:42.881Z,MCEW
ENG-1759510122881-21,ECY-1759190037700-21,Sheet1,Jammu,BM(MCEW),539.3,580.35,457.1,147.53,604.63,807,239.88,29.72,0,17.38,257.26,31.88,11,607.71,554.13,2025-09-29T23:53:57.703Z,2025-10-03T16:48:42.881Z,BM(MCEW)
ENG-1759510122881-22,ECY-1759190037700-22,Sheet1,Jammu,BM(OE)/ BFL Elect,638.85,629.19,2.7,355.66,358.36,742.66,509.3,68.58,0,0,509.3,68.58,0,,,2025-09-29T23:53:57.703Z,2025-10-03T16:48:42.881Z,
