s_no,source_sheet,budget_head,name_of_scheme,sub_scheme_name,ftr_hq_name,shq_name,location,work_description,executive_agency,aa_es_reference,sd_amount_lakh,ts_date,tender_date,acceptance_date,award_date,time_allowed_days,pdc_agreement,pdc_revised,firm_name,physical_progress_percent,expenditure_previous_fy,expenditure_current_fy,expenditure_total,expenditure_percent,remarks,created_at,updated_at,completion_date_actual,current_status
ENG-1759510506319-1,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Jammu,JMU,BOP  Abdullian,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023         ,50.05,28.07.2023,19.09.2023,14.12.2023,2023-12-20,9,2024-09-22,28.02.25,M/s R R Construction,99,25.25,-25.25,0,0,Work in progress. 3rd RA Bill amt Rs. 18;02;933/- pending with HQ.,2025-10-03T16:55:06.388Z,2025-10-03T16:55:06.388Z,,
ENG-1759510506319-2,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Jammu,JMU,BOP  Khatmarian ,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023         ,50.05,,,,,,,,,,0,0,0,0,Tender opened on 08.08.2025 and under process.,2025-10-03T16:55:06.388Z,2025-10-03T16:55:06.388Z,,
ENG-1759510506319-3,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Jammu,JMU,BOP  Sushil ,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023         ,50.05,,,,,,,,,,0,0,0,0,Tender opened on 08.08.2025 and under process.,2025-10-03T16:55:06.388Z,2025-10-03T16:55:06.388Z,,
ENG-1759510506319-4,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Jammu,JMU,BOP Mangral,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023         ,50.05,28.07.2023,19.09.2023,13.12.2023,2023-12-21,9,22.09.24,31.03.25,M/s Surinder Mohan Gupta,94,22.790000000000003,-22.790000000000003,0,0,Work in progress & 2nd RA billl amount to Rs.19;89;951/- pending with PAD,2025-10-03T16:55:06.388Z,2025-10-03T16:55:06.388Z,,
ENG-1759510506319-5,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Jammu,JMU,BOP Jugnuchak,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023         ,50.05,28.07.2023,11.8.2023,22.02.2024,2024-03-12,9,12.12.2024,31.03.25,M/s Surinder Mohan Gupta,80,19.189999999999998,-19.189999999999998,0,0,Work in progress,2025-10-03T16:55:06.388Z,2025-10-03T16:55:06.388Z,,
ENG-1759510506319-6,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Jammu,JMU,BOP  Nawapind,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023         ,50.05,28.07.2023,11.8.2023,09.03.2024,2024-03-15,9,15.12.2024,31.03.25,M/s Surinder Mohan Gupta,85,26.28,-26.28,0,0,Work in progress & bill amount to Rs.15.00 lakh under preparation.,2025-10-03T16:55:06.388Z,2025-10-03T16:55:06.388Z,,
ENG-1759510506319-7,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Jammu,JMU,BOP  Baquarpur,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023         ,50.05,28.07.2023,11.8.2023,09.03.2024,2024-03-15,9,15.12.2024,31.03.25,M/s Surinder Mohan Gupta,85,25.669999999999998,-25.669999999999998,0,0,Work in progress & bill amount to Rs.15.00 lakh under preparation.,2025-10-03T16:55:06.388Z,2025-10-03T16:55:06.388Z,,
ENG-1759510506319-8,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Jammu,JMU,BOP  Octroi,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023         ,50.05,28.07.2023,19.09.2023,13.12.2023,2023-12-22,9,17.09.2024,31.03.25,M/s R R Construction,70,15.28,-15.28,0,0,Work in progress & bill amount to Rs.10.53  lakh passed & Rs.15.00 lakh bill under preparation.,2025-10-03T16:55:06.388Z,2025-10-03T16:55:06.388Z,,
ENG-1759510506319-9,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Jammu,JMU,BOP  Karotna Khurd,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023         ,50.05,,,,,,,,,,0,0,0,0,Tender opened on 08.08.2025 and under process.,2025-10-03T16:55:06.388Z,2025-10-03T16:55:06.388Z,,
ENG-1759510506319-10,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Jammu,JMU,BOP Vikram,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023         ,50.05,28.07.2023,29.11.2023,02.01.2024,2024-01-11,9,13.10.24,31.03.25,M/s Dilbag Singh Contractor,94,24.78,-24.78,0,0,Work in progress & bill amount to Rs.11.44 lakh passed.,2025-10-03T16:55:06.388Z,2025-10-03T16:55:06.388Z,,
ENG-1759510506319-11,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Jammu,JMU,BOP Bullechak,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023         ,50.05,,,,,,,,,,0,0,0,0,Tender opened on 08.08.2025 and under process.,2025-10-03T16:55:06.388Z,2025-10-03T16:55:06.388Z,,
ENG-1759510506319-12,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Jammu,JMU,BOP Budhwar,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023         ,50.05,28.07.2023,29.11.2023,02.01.2024,2024-01-11,9,13.10.2024,31.03.25,M/s Dilbag Singh Contractor,92,27.99,-27.99,0,0,Work in progress,2025-10-03T16:55:06.388Z,2025-10-03T16:55:06.388Z,,
ENG-1759510506319-13,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Jammu,JMU,BOP S M Pur,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023         ,50.05,31.07.2023,19.09.2023,14.12.2023,2024-01-04,9,13.10.2024,31.03.25,M/s Swarn Kumar,80,28.37,-28.37,0,0,Work in progress & bill amount to Rs.8.23 lakh passed,2025-10-03T16:55:06.388Z,2025-10-03T16:55:06.388Z,,
ENG-1759510506319-14,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Jammu,JMU,BOP Chamliyal,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023         ,50.05,28.07.2023,06.10.2023,02.01.2024,2024-01-04,9,13.10.2024,31.03.25,M/s Swarn Kumar,75,27.520000000000003,-27.520000000000003,0,0,Work in progress,2025-10-03T16:55:06.388Z,2025-10-03T16:55:06.388Z,,
