s_no,budget_head,name_of_sub_scheme_,ftr_hq,shq,work_description,executive_agency,aa_es_reference,sd_amount_lakh,ts_date,tender_date,acceptance_date,award_date,time_allowed_days,pdc_agreement,pdc_revised,firm_name,physical_progress,expenditure_previous_fy,expenditure_current_fy,expenditure_total,expenditure_percent,remarks
1,BIMW(IA),Mahila Barrack,Jammu,JMU,BOP  Abdullian,Dept,239- H dated 27/03/2023         ,₹ 50.05,28.07.2023,19.09.2023,14.12.2023,12/21/23,9,9/23/24,28.02.25,M/s R R Construction,99 %,₹ 25.25,-₹ 25.25,₹ 0.00,0.00 %,Work in progress. 3rd RA Bill amt Rs. 18;02;933/- pending with HQ.
2,BIMW(IA),Mahila Barrack,Jammu,JMU,BOP  Khatmarian ,Dept,239- H dated 27/03/2023         ,₹ 50.05,,,,,,,,,,₹ 0.00,₹ 0.00,₹ 0.00,0.00 %,Tender opened on 08.08.2025 and under process.
3,BIMW(IA),Mahila Barrack,Jammu,JMU,BOP  Sushil ,Dept,239- H dated 27/03/2023         ,₹ 50.05,,,,,,,,,,₹ 0.00,₹ 0.00,₹ 0.00,0.00 %,Tender opened on 08.08.2025 and under process.
4,BIMW(IA),Mahila Barrack,Jammu,JMU,BOP Mangral,Dept,239- H dated 27/03/2023         ,₹ 50.05,28.07.2023,19.09.2023,13.12.2023,12/22/23,9,22.09.24,31.03.25,M/s Surinder Mohan Gupta,94 %,₹ 22.79,-₹ 22.79,₹ 0.00,0.00 %,Work in progress & 2nd RA billl amount to Rs.19;89;951/- pending with PAD
5,BIMW(IA),Mahila Barrack,Jammu,JMU,BOP Jugnuchak,Dept,239- H dated 27/03/2023         ,₹ 50.05,28.07.2023,11.8.2023,22.02.2024,3/13/24,9,12.12.2024,31.03.25,M/s Surinder Mohan Gupta,80 %,₹ 19.19,-₹ 19.19,₹ 0.00,0.00 %,Work in progress
6,BIMW(IA),Mahila Barrack,Jammu,JMU,BOP  Nawapind,Dept,239- H dated 27/03/2023         ,₹ 50.05,28.07.2023,11.8.2023,09.03.2024,3/16/24,9,15.12.2024,31.03.25,M/s Surinder Mohan Gupta,85 %,₹ 26.28,-₹ 26.28,₹ 0.00,0.00 %,Work in progress & bill amount to Rs.15.00 lakh under preparation.
7,BIMW(IA),Mahila Barrack,Jammu,JMU,BOP  Baquarpur,Dept,239- H dated 27/03/2023         ,₹ 50.05,28.07.2023,11.8.2023,09.03.2024,3/16/24,9,15.12.2024,31.03.25,M/s Surinder Mohan Gupta,85 %,₹ 25.67,-₹ 25.67,₹ 0.00,0.00 %,Work in progress & bill amount to Rs.15.00 lakh under preparation.
8,BIMW(IA),Mahila Barrack,Jammu,JMU,BOP  Octroi,Dept,239- H dated 27/03/2023         ,₹ 50.05,28.07.2023,19.09.2023,13.12.2023,12/23/23,9,17.09.2024,31.03.25,M/s R R Construction,70 %,₹ 15.28,-₹ 15.28,₹ 0.00,0.00 %,Work in progress & bill amount to Rs.10.53  lakh passed & Rs.15.00 lakh bill under preparation.
9,BIMW(IA),Mahila Barrack,Jammu,JMU,BOP  Karotna Khurd,Dept,239- H dated 27/03/2023         ,₹ 50.05,,,,,,,,,,₹ 0.00,₹ 0.00,₹ 0.00,0.00 %,Tender opened on 08.08.2025 and under process.
10,BIMW(IA),Mahila Barrack,Jammu,JMU,BOP Vikram,Dept,239- H dated 27/03/2023         ,₹ 50.05,28.07.2023,29.11.2023,02.01.2024,1/12/24,9,13.10.24,31.03.25,M/s Dilbag Singh Contractor,94 %,₹ 24.78,-₹ 24.78,₹ 0.00,0.00 %,Work in progress & bill amount to Rs.11.44 lakh passed.
11,BIMW(IA),Mahila Barrack,Jammu,JMU,BOP Bullechak,Dept,239- H dated 27/03/2023         ,₹ 50.05,,,,,,,,,,₹ 0.00,₹ 0.00,₹ 0.00,0.00 %,Tender opened on 08.08.2025 and under process.
12,BIMW(IA),Mahila Barrack,Jammu,JMU,BOP Budhwar,Dept,239- H dated 27/03/2023         ,₹ 50.05,28.07.2023,29.11.2023,02.01.2024,1/12/24,9,13.10.2024,31.03.25,M/s Dilbag Singh Contractor,92 %,₹ 27.99,-₹ 27.99,₹ 0.00,0.00 %,Work in progress
13,BIMW(IA),Mahila Barrack,Jammu,JMU,BOP S M Pur,Dept,239- H dated 27/03/2023         ,₹ 50.05,31.07.2023,19.09.2023,14.12.2023,1/5/24,9,13.10.2024,31.03.25,M/s Swarn Kumar,80 %,₹ 28.37,-₹ 28.37,₹ 0.00,0.00 %,Work in progress & bill amount to Rs.8.23 lakh passed
14,BIMW(IA),Mahila Barrack,Jammu,JMU,BOP Chamliyal,Dept,239- H dated 27/03/2023         ,₹ 50.05,28.07.2023,06.10.2023,02.01.2024,1/5/24,9,13.10.2024,31.03.25,M/s Swarn Kumar,75 %,₹ 27.52,-₹ 27.52,₹ 0.00,0.00 %,Work in progress
