S_No,WORK_TYPE,SOURCE_SHEET,NAME_OF_WORK,FRONTIER,SECTOR_HQ,LENGTH_KM,UNITS_AOR,HLEC_YEAR,SANCTIONED_AMOUNT_CR,SDC,PDC,COMPLETED_PERCENTAGE,REMARKS,APPROVED AMOUNT (CR)
1.0,BOP,BOP,D T MAL,PUNJAB,FZR,,155.0,52nd/ 2022,31.6,Dec'2025,,0.35,Construction of BOP :- RCC work upto natural ground level beam completed for 07 buildings. RCC work in foundation and plinth is in progress for rest of buildings.. Earth work embankment is in progress. Construction of pontoon bridge of span 400 M on River Sutlej near BOP D T Mal:- Work is in progress. Fabrication of Pontoon is in progress. 47 Nos Pontoons fabricated out of 67 Nos Pontoons. Piling work of anchoring point completed. Other work like fencing; Lateral and Axial road :- LAP for acquisition of land for Lateral & Axial road submitted to concerned Revenue department. Joint verification is pending with Revenue Department. 2. LAC appointed by Punjab Govt.,
2.0,BOP,BOP,1142,GUJARAT,BHUJ,,68.0,45th/ 2018,56.71,June' 2025,,0.84,,
3.0,BOP,BOP,1170,GUJARAT,BHUJ,,68.0,45th/ 2018,56.71,June' 2025,,1.0,,
4.0,BOP,BOP,G-07,GUJARAT,BHUJ,,68.0,45th/ 2018,56.71,June' 2025,,0.99,,
5.0,BOP,BOP,G13,GUJARAT,BHUJ,,68.0,45th/ 2018,56.71,June' 2025,,0.99,,
6.0,BOP,BOP,G-27,GUJARAT,BHUJ,,176.0,52nd/ 2022,60.47,June' 2025,,0.85,,
7.0,BOP,BOP,DHORODO,GUJARAT,BHUJ,,,55th/ 2023,31.53,Oct' 2025,,0.68,,
8.0,BOP,BOP,DAFA,GUJARAT,BHUJ,,153.0,55th/ 2023,241.44,Oct' 2025,,0.0,Forest & Environment Department Gandhinagar; Gujarat had forwarded the case for Coastal Regulation Zone (CRZ) clearance to Ministry of Environment; Forest and Climate Change; Govt of India on 30th May 2025.,
9.0,BOP,BOP,LAKHPATWARI,GUJARAT,BHUJ,,153.0,55th/ 2023,241.44,Oct' 2025,,0.0,Forest & Environment Department Gandhinagar; Gujarat had forwarded the case for Coastal Regulation Zone (CRZ) clearance to Ministry of Environment; Forest and Climate Change; Govt of India on 30th May 2025.,
10.0,BOP,BOP,VISHNUBET,GUJARAT,BHUJ,,153.0,55th/ 2023,241.44,Oct' 2025,,0.0,Forest & Environment Department Gandhinagar; Gujarat had forwarded the case for Coastal Regulation Zone (CRZ) clearance to Ministry of Environment; Forest and Climate Change; Govt of India on 30th May 2025.,
11.0,BOP,BOP,G-39,GUJARAT,BHUJ,,176.0,55th/ 2023,79.81,Aug' 2025,,0.0,Forest & Environment Department Gandhinagar; Gujarat had forwarded the case for Coastal Regulation Zone (CRZ) clearance to Ministry of Environment; Forest and Climate Change; Govt of India on 30th May 2025.,
12.0,BOP,BOP,G-33,GUJARAT,BHUJ,,176.0,55th/ 2023,102.63,Aug'2025,,0.0,Forest & Environment Department Gandhinagar; Gujarat had forwarded the case for Coastal Regulation Zone (CRZ) clearance to Ministry of Environment; Forest and Climate Change; Govt of India on 30th May 2025.,
13.0,BOP,BOP,18 Nos Coastal BOPs,GUJARAT,BHUJ,,153.0,44th/ 2018,301.17,Nov' 2025,,0.95,All 18 Coastal BOPs handed over to BSF. Overall 95% work completed. Work of all 34 OP Tower is in progress. 28 Nos OP Towers- Structure completed. 21 Nos OP Towers -Masonry & plaster work completed. Plumbing & Finishing work i/c flooring is in progress. Land acquisition case of 02 Op towers yet to finalized due to Mangrove forest (BOP Sanghi Cement- Case pending with CRZ (Coastal Regulation Zone; Gujarat and forest clearance is awaited) Guachar Land (BOP Walawari Wand- Case is pending with Department of land & Revenue; Govt. of Gujarat w.e.f 15.12.2023. Last meeting with DM; Kutch held in Mar’ 2025) .,
1.0,FENCE,FENCE,Replacement of severely damaged fence in length of 18.00 km with Single Row Fence from BP 1051 to BP 1135 in Gujarat Sector at Bhuj. (Length: 18.00 Km),GUJARAT,BHUJ,18.0,18 & 90 Bn,56th/2024,41.0,MARCH' 2025 EOT proposal received from CPWD and will be sent to BFR Cell; CPWD for examination.,,0.99,Remaining work in progress.,
2.0,FENCE,FENCE,Construction of 10 Km fence (alongwith road & fence) from BP 1175 to G-17 in Bhuj sector. Extended construction of 6.60 Km border road; fence from G-17 to G-28. (Length: 16.60 Km),GUJARAT,BHUJ,16.6,68 Bn,46th/ 2019,307.69,JUNE' 2025,,0.98,Completed-1175 to G-17 Progress G-17 to G-28,
1.0,FENCE,FENCE,Construction of modular fencing (alongwith border road & BFL) from BP 1143 to BP 1154 including protection work; precast RCC box type culverts; along Indo- Pak Border in Bhuj Sector; Gujarat. (Length: 18.60 Km),GUJARAT,BHUJ,18.6,68 Bn,56th/2024,442.77,DEC' 2027,,0.0,Work not yet started. (AOR OF Units - 68 Bn BSF),
2.0,FENCE,FENCE,Replacement of Border Security Fence and BFL Poles damaged due to flood at different locations in Ferozepur and Abohar Sectors under Punjab Frontier along Indo-Pak Border (Length: 4.365 Km),PUNJAB,FZR,4.365,99; 155; 158 Bn,57th/2024,35.62,MAY' 2025 EOT proposal till Nov; 2025 submitted by CPWD sent to BFR Cell; CPWD for examination on 09.05.2025.,,0.4,Fixing of NDF is in progress at at BOP Tapu.,
3.0,FENCE,FENCE,Replacement of Border Security Fence and BFL Poles damaged due to flood at different locations in Ferozepur and Abohar Sectors under Punjab Frontier along Indo-Pak Border (Length: 4.365 Km),PUNJAB,ABR,4.365,160; 65; 19 Bn BSF,57th/2024,35.62,MAY' 2025 EOT proposal till Nov; 2025 submitted by CPWD sent to BFR Cell; CPWD for examination on 09.05.2025.,,0.4,Fixing of NDF is in progress at Bachittar,
4.0,FENCE,FENCE,Replacement of Old design damaged border security fence to new design fence at various locations in Punjab Sector along Indo-Pakistan Border. (Length: 134.561 Km),PUNJAB,GSP,21.255,27; 58 & 113 Bn,56th/2024,366.25,FEB' 2026,,0.15,Work is in progress at one BOP Location in AOR of SHQ Gurdaspur,
5.0,FENCE,FENCE,Replacement of Old design damaged border security fence to new design fence at various locations in Punjab Sector along Indo-Pakistan Border. (Length: 134.561 Km),PUNJAB,ASR,44.225,100; 115 & 181 Bn,56th/2024,366.25,FEB' 2026,,0.15,Work is in progress at 14 BOPs locations in AOR of SHQ Amritsar.,
6.0,FENCE,FENCE,Replacement of Old design damaged border security fence to new design fence at various locations in Punjab Sector along Indo-Pakistan Border. (Length: 134.561 Km),PUNJAB,FZR,36.41,103; 148; 99; 155 Bn,56th/2024,366.25,FEB' 2026,,0.15,Work is in progress at 02 BOPs locations of length 03 Kms in AOR of SHQ Ferozepur.,
7.0,FENCE,FENCE,Replacement of Old design damaged border security fence to new design fence at various locations in Punjab Sector along Indo-Pakistan Border. (Length: 134.561 Km),PUNJAB,ABR,32.701,19;55; 65 & 160 Bn,56th/2024,366.25,FEB' 2026,,0.15,Work in progress of 3.3 Kms in AOR of SHQ Abohar.,
6.0,FENCE,FENCE,Replacement of old damaged fence by new design fence in AOR of Sriganganagar sector. (Length: 157.204 Km,RAJASTHAN,SGNR,157.204,48; 118; 163 & 23 Bn,57th/2024,436.31,Sept' 2026,,0.02,Work under progress. Sample stretch for 30 Mtr has been constructed in the AOR of BOP Hindumalkot; 48 Bn BSF under SHQ BSF Sriganganagar. Appx 23 Km fence erected work and 35 Km dismantling/RCC/ Brick wall/ Digging/placing of iron pole/ block is in progress.,
